english	translation	category	sub_category	source
Fishing - Other (Members Only)	钓鱼 - 其他（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Fishing - Overview	钓鱼 - 概览	skillguide	860	ai_osrs-translator-v3.1_20260710
Fishing - Raids (Members Only)	钓鱼 - 洪流袭击 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Fishing - Rod	钓鱼 - 鱼竿	skillguide	860	ai_osrs-translator-v3.1_20260710
Fishing - Small Net	钓鱼 - 小渔网	skillguide	860	manual_20260710
Fishing skill	钓鱼技能	skillguide	860	ai_osrs-translator-v3.1_20260710
Fletching - Arrows (Members Only)	制箭 - 箭 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Fletching - Bolts (Members Only)	制箭 - 弹簧弩箭 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Fletching - Bows (Members Only)	制箭 - 箭弓 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Fletching - Crossbows (Members Only)	制箭 - 弩 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Fletching - Darts (Members Only)	制箭 - 飞镖 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Fletching - Javelins (Members Only)	制箭 - 投标枪 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Fletching - Other (Members Only)	制箭 - 其他（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Fletching - Overview (Members Only)	制箭术 - 概览 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Fletching - Shields (Members Only)	制箭 - 盾牌 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Fletching - Vale Totems (Members Only)	制箭 - 山谷图腾 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Healing tab	治疗标签页	skillguide	860	ai_osrs-translator-v3.1_20260710
Herblore - Barbarian Potions (Members Only)	草药学 - 野蛮人药水 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Herblore - Herbs (Members Only)	草药学 - 草药 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Herblore - Other (Members Only)	草药学 - 其他（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Herblore - Overview (Members Only)	草药学 - 概览 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Herblore - Potions (Members Only)	草药学 - 药水（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Herblore - Raids (Members Only)	草药学 - 团队副本 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Herblore skill	草药学技能	skillguide	860	ai_osrs-translator-v3.1_20260710
Hide Information Panel	隐藏信息面板	skillguide	860	cachedump_20260710
Hitpoints - Equipment (Members Only)	生命值 - 装备（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Hitpoints - Healing	生命值 - 治疗	skillguide	860	ai_osrs-translator-v3.1_20260710
Hitpoints - Hitsplats	生命值 - 血迹斑斑	skillguide	860	ai_osrs-translator-v3.1_20260710
Hitpoints - Miscellaneous (Members Only)	生命值 - 杂项（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Hitpoints - Overview	生命值 - 概览	skillguide	860	ai_osrs-translator-v3.1_20260710
Hitsplats tab	伤害数字标签页	skillguide	860	ai_osrs-translator-v3.1_20260710
Hunter - Aerial (Members Only)	狩猎 - 猛禽式 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Hunter - Birdhouses (Members Only)	狩猎 - 鸟屋（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Hunter - Birds (Members Only)	狩猎 - 鸟类 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Hunter - Box Trap (Members Only)	狩猎 - 盒式陷阱 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Hunter - Butterfly Net (Members Only)	狩猎 - 蝴蝶网 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Hunter - Crab Traps (Members Only)	狩猎 - 蟹陷阱 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Hunter - Deadfall (Members Only)	狩猎 - 陷阱落石 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Hunter - Implings (Members Only)	狩猎 - 小精灵 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Hunter - Net Trap (Members Only)	狩猎 - 网捕陷阱 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Hunter - Other (Members Only)	狩猎 - 其他（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Hunter - Overview (Members Only)	狩猎 - 概览 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Hunter - Pitfalls (Members Only)	狩猎 - 陷阱 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Hunter - Tracking (Members Only)	狩猎 - 追踪 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Hunter - Traps (Members Only)	狩猎 - 陷阱 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Ignore List - World	忽略列表 - 世界	skillguide	860	cachedump_20260710
League toggles - Bit	联赛切换 - 位	skillguide	860	cachedump_20260710
Loading friend list	加载好友列表	skillguide	860	cachedump_20260710
Loading ignore list	加载忽略列表	skillguide	860	cachedump_20260710
Magic - Ancient Magicks (Members Only)	魔法 - 古代魔法 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Magic - Arceuus Spells (Members Only)	魔法 - 阿西乌斯法术 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Magic - Armour (Members Only)	魔法 - 装甲（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Magic - Bolts (Members Only)	魔法 - 闪电箭 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Magic - Equipment (Members Only)	魔法 - 装备（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Magic - Lunar Spells (Members Only)	魔法 - 月之咒语 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Magic - Overview	魔法 - 概览	skillguide	860	ai_osrs-translator-v3.1_20260710
Magic - Standard Spellbook	魔法 - 标准法术书	skillguide	860	ai_osrs-translator-v3.1_20260710
Magic - Weapons	魔法 - 武器	skillguide	860	ai_osrs-translator-v3.1_20260710
Magic panel	魔法镶板	skillguide	860	ai_osrs-translator-v3.1_20260710
Magic skill	魔法技能	skillguide	860	ai_osrs-translator-v3.1_20260710
Members - One time use	会员 - 单次使用	skillguide	860	cachedump_20260710
Mining - Areas	采矿 - 区域	skillguide	860	ai_osrs-translator-v3.1_20260710
Mining - Equipment	采矿 - 套装	skillguide	860	ai_osrs-translator-v3.1_20260710
Mining - Overview	采矿 - 概览	skillguide	860	ai_osrs-translator-v3.1_20260710
Mining - Rocks	采矿 - 岩石	skillguide	860	ai_osrs-translator-v3.1_20260710
Mining - Shooting Stars	采矿 - 流星	skillguide	860	ai_osrs-translator-v3.1_20260710
Mining skill	采矿技能	skillguide	860	ai_osrs-translator-v3.1_20260710
Music - music varp	音乐 - 音乐变量	skillguide	860	cachedump_20260710
Open storage tab	打开存储标签页	skillguide	860	cachedump_20260710
Open the rank interface	打开排名界面	skillguide	860	cachedump_20260710
Pandemonium quest	潘德莫尼姆岛任务	skillguide	860	ai_osrs-translator-v3.1_20260710
Prayer - Equipment (Members Only)	祈祷 - 配备 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Prayer - Other (Members Only)	祈祷 - 其他（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Prayer - Overview	祈祷 - 概览	skillguide	860	ai_osrs-translator-v3.1_20260710
Prayer - Standard Prayers	祈祷 - 标准祈祷	skillguide	860	ai_osrs-translator-v3.1_20260710
Prayer panel	祈祷面板	skillguide	860	ai_osrs-translator-v3.1_20260710
Prying Times quest	撬开宝箱任务	skillguide	860	ai_osrs-translator-v3.1_20260710
Ranged - Armour	远程 - 装甲	skillguide	860	ai_osrs-translator-v3.1_20260710
Ranged - Boat cannons (Members Only)	远程 - 船炮 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Ranged - Bows	远程 - 弓	skillguide	860	ai_osrs-translator-v3.1_20260710
Ranged - Crossbows	远程 - 弩	skillguide	860	ai_osrs-translator-v3.1_20260710
Ranged - Miscellaneous (Members Only)	远程 - 杂项（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Ranged - Overview	远程 - 概览	skillguide	860	ai_osrs-translator-v3.1_20260710
Ranged - Salamanders (Members Only)	远程 - 萨拉曼德（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Ranged - Shortcuts (Members Only)	远程 - 近路（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Ranged - Thrown (Members Only)	远程 - 投掷（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Rune Mysteries quest	符石奥秘任务	skillguide	860	ai_osrs-translator-v3.1_20260710
Runecraft - Infusing (Members Only)	符石制作 - 注魔 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Runecraft - Multiple Runes	符石制作 - 多个符石	skillguide	860	ai_osrs-translator-v3.1_20260710
Runecraft - Other (Members Only)	符石制作 - 其他（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Runecraft - Overview	符石制作 - 概览	skillguide	860	ai_osrs-translator-v3.1_20260710
Runecraft - Rune Pouches (Members Only)	符石制作 - 符石袋 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Runecraft - Runes	符石制作 - 符石	skillguide	860	ai_osrs-translator-v3.1_20260710
Sailing - Barracuda Trials (Members Only)	航海 - 巴拉克达试炼 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Sailing - Boat Facilities (Members Only)	航海 - 船只设施 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Sailing - Boats (Members Only)	航海 - 船只 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Sailing - Core Boat Parts (Members Only)	航海 - 核心船体部件 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Sailing - Crewmates (Members Only)	航海 - 船员 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Sailing - Mooring Points (Members Only)	航海 - 系泊点 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Sailing - Other (Members Only)	航海 - 其他（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Sailing - Overview (Members Only)	航海 - 概览 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Sailing - Port Tasks (Members Only)	航海 - 港口任务 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Sailing - Ports (Members Only)	航海 - 港口(仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Sailing - Sea Charting (Members Only)	航海 - 海图绘制（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Sailing - Shipwreck Salvaging (Members Only)	航海 - 沉船打捞 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Sailing Options panel	航海选项面板	skillguide	860	ai_osrs-translator-v3.1_20260710
Slayer - Equipment (Members Only)	杀戮 - 装备（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Slayer - Monsters (Members Only)	杀戮 - 怪物 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Slayer - Overview (Members Only)	杀戮 - 概览 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Slayer - Slayer Masters (Members Only)	杀戮 - 杀戮大师 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Slayer Masters tab	杀戮大师标签页	skillguide	860	ai_osrs-translator-v3.1_20260710
Smithing - Adamant	锻造 - 精金	skillguide	860	ai_osrs-translator-v3.1_20260710
Smithing - Bronze	锻造 - 青铜	skillguide	860	ai_osrs-translator-v3.1_20260710
Smithing - Crystal (Members Only)	锻造 - 水晶 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Smithing - Iron	锻造 - 铁	skillguide	860	ai_osrs-translator-v3.1_20260710
Smithing - Lovakite (Members Only)	锻造 - 洛瓦凯特 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Smithing - Mithril	锻造 - 秘银	skillguide	860	ai_osrs-translator-v3.1_20260710
Smithing - Other	锻造 - 其他	skillguide	860	ai_osrs-translator-v3.1_20260710
Smithing - Overview	锻造 - 概览	skillguide	860	ai_osrs-translator-v3.1_20260710
Smithing - Rune	锻造 - 符文	skillguide	860	ai_osrs-translator-v3.1_20260710
Smithing - Smelting	锻造 - 熔炼	skillguide	860	ai_osrs-translator-v3.1_20260710
Smithing - Steel	锻造 - 钢	skillguide	860	ai_osrs-translator-v3.1_20260710
Smithing skill	锻造技能	skillguide	860	ai_osrs-translator-v3.1_20260710
Speedrunning Panel	速通面板	skillguide	860	cachedump_20260710
Strength - Areas (Members Only)	力量 - 领域 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Strength - Armour (Members Only)	力量 - 装甲（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Strength - Barbarian (Members Only)	力量 - 野蛮人 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Strength - Overview	力量 - 概览	skillguide	860	ai_osrs-translator-v3.1_20260710
Strength - Shortcuts (Members Only)	力量 - 捷径（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Strength - Weapons	力量 - 武器	skillguide	860	ai_osrs-translator-v3.1_20260710
Thieving - Chests (Members Only)	偷窃 - 箱子 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Thieving - Other (Members Only)	偷窃 - 其他（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Thieving - Overview (Members Only)	偷窃 - 概览 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Thieving - Pickpocket (Members Only)	偷窃 - 挖包 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Thieving - Stalls (Members Only)	偷窃 - 席位 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Unlock a skill	解锁技能	skillguide	860	cachedump_20260710
Woodcutting - Axes	伐木 - 斧	skillguide	860	ai_osrs-translator-v3.1_20260710
Woodcutting - Forestry	伐木 - 林业	skillguide	860	ai_osrs-translator-v3.1_20260710
Woodcutting - Other	伐木 - 其他	skillguide	860	ai_osrs-translator-v3.1_20260710
Woodcutting - Overview	伐木 - 概览	skillguide	860	ai_osrs-translator-v3.1_20260710
Woodcutting - Trees	伐木 - 树木	skillguide	860	ai_osrs-translator-v3.1_20260710
Woodcutting skill	伐木技能	skillguide	860	ai_osrs-translator-v3.1_20260710
